iter	Passed	Remaining
179	613	2793
180	617	2793
181	620	2788
182	623	2785
183	627	2782
184	631	2781
185	635	2781
186	638	2776
187	641	2772
188	645	2768
189	648	2764
190	651	2761
191	655	2756
192	656	2745
193	659	2741
194	662	2735
195	666	2735
196	668	2726
197	671	2720
198	675	2717
199	677	2711
200	681	2707
201	683	2702
202	686	2696
203	689	2692
204	692	2687
205	696	2683
206	699	2678
207	702	2673
208	705	2670
209	708	2665
210	711	2660
211	714	2657
212	717	2651
213	721	2649
214	724	2645
215	727	2641
216	731	2637
217	734	2633
218	737	2629
219	739	2620
220	742	2615
221	745	2612
222	748	2607
223	751	2603
224	756	2605
225	759	2599
226	763	2599
227	768	2601
228	771	2598
229	775	2597
230	780	2598
231	785	2599
232	789	2597
233	793	2597
234	796	2594
235	800	2590
236	803	2585
237	806	2582
238	811	2583
239	814	2580
240	818	2577
241	822	2574
242	826	2575
243	830	2571
244	833	2569
245	837	2567
246	844	2573
247	850	2579
248	856	2583
249	860	2582
250	864	2580
251	868	2578
252	873	2578
253	877	2576
254	880	2573
255	884	2570
256	888	2568
257	892	2565
258	895	2562
259	899	2559
260	901	2552
261	906	2553
262	909	2549
263	913	2546
264	917	2545
265	922	2546
266	927	2547
267	932	2547
268	939	2551
269	944	2552
270	950	2555
271	955	2557
272	959	2554
273	965	2557
274	970	2559
275	975	2559
276	982	2563
277	988	2567
278	993	2566
279	998	2568
280	1004	2570
281	1010	2571
282	1015	2571
283	1021	2574
284	1027	2576
285	1033	2579
286	1036	2575
287	1040	2571
288	1044	2569
289	1048	2566
290	1052	2563
291	1054	2556
292	1058	2553
293	1061	2548
294	1065	2546
295	1068	2542
296	1072	2539
297	1076	2536
298	1080	2533
299	1084	2529
300	1088	2527
301	1091	2522
302	1094	2518
303	1099	2516
304	1103	2514
305	1108	2513
306	1113	2513
307	1118	2512
308	1122	2509
309	1126	2506
310	1131	2506
311	1134	2502
312	1138	2498
313	1142	2495
314	1147	2495
315	1153	2496
316	1159	2498
317	1165	2499
318	1169	2495
319	1172	2492
320	1177	2490
321	1181	2486
322	1184	2482
323	1187	2477
324	1191	2474
325	1196	2473
326	1200	2470
327	1205	2470
328	1209	2466
329	1214	2464
330	1219	2464
331	1225	2466
332	1229	2462
333	1232	2458
334	1236	2454
335	1241	2452
336	1244	2448
337	1248	2445
338	1251	2440
339	1254	2435
340	1257	2431
341	1261	2426
342	1264	2421
343	1267	2417
344	1271	2414
345	1275	2411
346	1278	2406
347	1281	2401
348	1285	2396
349	1288	2392
350	1290	2386
351	1293	2381
352	1296	2375
353	1299	2370
354	1301	2365
355	1305	2360
356	1306	2353
357	1309	2348
358	1312	2344
359	1315	2339
360	1318	2334
361	1321	2329
362	1324	2324
363	1327	2319
364	1330	2315
365	1333	2310
366	1336	2305
367	1339	2300
368	1342	2295
369	1345	2290
370	1348	2286
371	1351	2281
372	1355	2278
373	1358	2274
374	1361	2268
375	1364	2264
376	1367	2259
377	1370	2255
378	1373	2250
379	1376	2246
380	1379	2241
381	1382	2236
382	1385	2232
383	1388	2226
384	1390	2221
385	1393	2217
386	1396	2212
387	1400	2208
388	1403	2204
389	1406	2199
390	1408	2194
391	1411	2189
392	1414	2185
393	1418	2181
394	1423	2179
395	1427	2177
396	1432	2176
397	1436	2173
398	1440	2169
399	1443	2164
400	1446	2160
401	1449	2155
402	1452	2151
403	1454	2146
404	1457	2141
405	1460	2136
406	1463	2131
407	1465	2126
408	1468	2121
409	1470	2116
410	1473	2111
411	1476	2106
412	1478	2102
413	1481	2097
414	1484	2092
415	1487	2087
416	1490	2083
417	1492	2078
418	1495	2074
419	1498	2069
420	1501	2064
421	1503	2059
422	1506	2054
423	1509	2050
424	1512	2046
425	1515	2041
426	1517	2036
427	1520	2032
428	1523	2027
429	1526	2023
430	1529	2018
431	1531	2014
432	1534	2009
433	1537	2004
434	1539	1999
435	1542	1995
436	1544	1990
437	1547	1985
438	1550	1981
439	1553	1976
440	1555	1972
441	1558	1967
442	1561	1963
443	1563	1958
444	1567	1954
445	1569	1949
446	1572	1945
447	1574	1940
448	1577	1935
449	1580	1931
450	1583	1927
451	1586	1923
452	1589	1919
453	1592	1915
454	1595	1911
455	1598	1907
456	1601	1903
457	1605	1899
458	1608	1895
459	1611	1891
460	1614	1887
461	1616	1882
462	1619	1878
463	1622	1874
464	1625	1870
465	1628	1865
466	1631	1861
467	1633	1857
468	1636	1853
469	1640	1849
470	1642	1845
471	1645	1840
472	1648	1836
473	1651	1832
474	1654	1828
475	1657	1824
476	1659	1819
477	1662	1815
478	1665	1811
479	1667	1806
480	1670	1802
481	1673	1798
482	1675	1793
483	1678	1789
484	1680	1784
485	1683	1780
486	1686	1776
487	1689	1772
488	1691	1768
489	1694	1763
490	1697	1759
491	1699	1754
492	1702	1751
493	1705	1746
494	1708	1742
495	1710	1738
496	1713	1734
497	1716	1730
498	1719	1726
499	1722	1722
500	1725	1718
501	1728	1714
502	1731	1711
503	1735	1707
504	1737	1703
505	1740	1699
506	1743	1695
507	1746	1691
508	1750	1688
509	1752	1684
510	1755	1680
511	1758	1676
512	1761	1672
513	1764	1668
514	1767	1664
515	1770	1660
516	1773	1656
517	1775	1652
518	1778	1648
519	1782	1645
520	1785	1641
521	1787	1637
522	1790	1633
523	1793	1629
524	1797	1626
525	1799	1621
526	1802	1617
527	1805	1613
528	1808	1610
529	1815	1609
530	1820	1608
531	1825	1605
532	1829	1603
533	1832	1599
534	1835	1595
535	1838	1591
536	1841	1587
537	1844	1583
538	1847	1579
539	1850	1575
540	1852	1572
541	1855	1568
542	1858	1564
543	1862	1561
544	1865	1557
545	1867	1553
546	1871	1549
547	1873	1545
548	1876	1541
549	1878	1537
550	1881	1533
551	1884	1529
552	1886	1525
553	1889	1520
554	1891	1516
555	1894	1512
556	1897	1508
557	1899	1504
558	1902	1500
559	1904	1496
560	1907	1492
561	1910	1488
562	1912	1484
563	1915	1480
564	1918	1476
565	1920	1472
566	1923	1468
567	1925	1464
568	1927	1460
569	1930	1456
570	1933	1452
571	1935	1448
572	1938	1444
573	1940	1440
574	1943	1436
575	1946	1432
576	1948	1428
577	1950	1424
578	1952	1420
579	1955	1416
580	1958	1412
581	1960	1408
582	1963	1404
583	1966	1400
584	1968	1396
585	1971	1392
586	1974	1389
587	1977	1385
588	1979	1381
589	1982	1377
590	1984	1373
591	1987	1369
592	1990	1366
593	1992	1361
594	1994	1357
595	1997	1353
596	1999	1349
597	2002	1346
598	2005	1342
599	2008	1338
600	2010	1334
601	2013	1330
602	2015	1327
603	2018	1323
604	2021	1319
605	2024	1315
606	2026	1312
607	2029	1308
608	2031	1304
609	2034	1300
610	2037	1297
611	2039	1293
612	2042	1289
613	2044	1285
614	2047	1281
615	2049	1277
616	2052	1274
617	2055	1270
618	2057	1266
619	2060	1262
620	2062	1259
621	2065	1255
622	2068	1251
623	2071	1247
624	2073	1244
625	2075	1240
626	2078	1236
627	2081	1232
628	2083	1229
629	2086	1225
630	2088	1221
631	2091	1217
632	2094	1214
633	2096	1210
634	2099	1206
635	2102	1203
636	2104	1199
637	2107	1195
638	2110	1192
639	2112	1188
640	2115	1184
641	2118	1181
642	2120	1177
643	2122	1173
644	2125	1169
645	2127	1166
646	2130	1162
647	2132	1158
648	2135	1154
649	2137	1151
650	2140	1147
651	2143	1143
652	2145	1140
653	2148	1136
654	2151	1133
655	2153	1129
656	2156	1126
657	2159	1122
658	2161	1118
659	2164	1115
660	2167	1111
661	2170	1107
662	2173	1104
663	2176	1101
664	2179	1097
665	2181	1094
666	2184	1090
667	2187	1087
668	2190	1083
669	2192	1079
670	2195	1076
671	2198	1072
672	2200	1069
673	2203	1065
674	2205	1062
675	2208	1058
676	2210	1054
677	2213	1051
678	2216	1047
679	2219	1044
680	2221	1040
681	2223	1036
682	2226	1033
683	2229	1029
684	2231	1026
685	2234	1022
686	2236	1019
687	2239	1015
688	2241	1011
689	2244	1008
690	2247	1005
691	2251	1002
692	2255	999
693	2260	996
694	2264	993
695	2267	990
696	2270	986
697	2273	983
698	2275	979
699	2278	976
700	2281	973
701	2283	969
702	2286	965
703	2288	962
704	2291	958
705	2294	955
706	2297	952
707	2299	948
708	2302	944
709	2304	941
710	2307	937
711	2311	935
712	2314	931
713	2317	928
714	2320	924
715	2323	921
716	2326	918
717	2328	914
718	2331	911
719	2334	907
720	2336	904
721	2340	901
722	2343	897
723	2346	894
724	2348	890
725	2351	887
726	2353	883
727	2356	880
728	2359	877
729	2362	873
730	2365	870
731	2368	867
732	2370	863
733	2373	860
734	2375	856
735	2378	853
736	2381	849
737	2384	846
738	2386	842
739	2389	839
740	2392	836
741	2395	832
742	2397	829
743	2400	826
744	2404	822
745	2406	819
746	2409	816
747	2412	812
748	2415	809
749	2418	806
750	2421	802
751	2423	799
752	2426	795
753	2429	792
754	2431	789
755	2434	785
756	2437	782
757	2440	779
758	2443	775
759	2446	772
760	2448	769
761	2451	765
762	2454	762
763	2456	758
764	2459	755
765	2462	752
766	2465	748
767	2467	745
768	2470	742
769	2473	738
770	2476	735
771	2478	732
772	2481	728
773	2484	725
774	2487	722
775	2490	718
776	2493	715
777	2495	712
778	2498	708
779	2501	705
780	2503	702
781	2506	698
782	2509	695
783	2512	692
784	2515	689
785	2518	685
786	2521	682
787	2523	679
788	2526	675
789	2529	672
790	2532	669
791	2535	665
792	2538	662
793	2541	659
794	2543	655
795	2546	652
796	2549	649
797	2552	646
798	2555	642
799	2557	639
800	2560	636
801	2563	632
802	2566	629
803	2569	626
804	2572	623
805	2574	619
806	2577	616
807	2580	613
808	2583	609
809	2586	606
810	2589	603
811	2591	600
812	2594	596
813	2597	593
814	2600	590
815	2602	586
816	2605	583
817	2607	580
818	2610	577
819	2613	573
820	2616	570
821	2618	567
822	2621	563
823	2623	560
824	2627	557
825	2629	553
826	2632	550
827	2634	547
828	2637	543
829	2639	540
830	2643	537
831	2647	534
832	2650	531
833	2654	528
834	2658	525
835	2660	522
836	2663	518
837	2666	515
838	2668	512
839	2671	508
840	2674	505
841	2677	502
842	2679	499
843	2682	495
844	2684	492
845	2687	489
846	2690	485
847	2692	482
848	2695	479
849	2697	476
850	2700	472
851	2702	469
852	2705	466
853	2708	462
854	2710	459
855	2713	456
856	2716	453
857	2718	449
858	2721	446
859	2724	443
860	2726	440
861	2729	436
862	2732	433
863	2735	430
864	2738	427
865	2740	424
866	2743	420
867	2746	417
868	2749	414
869	2751	411
870	2754	407
871	2757	404
872	2759	401
873	2762	398
874	2764	394
875	2767	391
876	2770	388
877	2772	385
878	2775	382
879	2778	378
880	2781	375
881	2783	372
882	2786	369
883	2789	365
884	2791	362
885	2794	359
886	2796	356
887	2799	353
888	2802	349
889	2804	346
890	2807	343
891	2810	340
892	2812	336
893	2815	333
894	2817	330
895	2820	327
896	2823	324
897	2825	320
898	2828	317
899	2830	314
900	2833	311
901	2836	308
902	2839	304
903	2841	301
904	2844	298
905	2846	295
906	2849	292
907	2852	289
908	2854	285
909	2857	282
910	2859	279
911	2862	276
912	2865	273
913	2868	269
914	2870	266
915	2873	263
916	2875	260
917	2878	257
918	2881	253
919	2883	250
920	2886	247
921	2889	244
922	2891	241
923	2893	238
924	2896	234
925	2899	231
926	2902	228
927	2904	225
928	2907	222
929	2909	218
930	2911	215
931	2915	212
932	2917	209
933	2920	206
934	2922	203
935	2924	199
936	2927	196
937	2930	193
938	2932	190
939	2935	187
940	2938	184
941	2940	181
942	2942	177
943	2945	174
944	2948	171
945	2950	168
946	2953	165
947	2955	162
948	2958	158
949	2961	155
950	2963	152
951	2966	149
952	2968	146
953	2971	143
954	2973	140
955	2976	136
956	2979	133
957	2981	130
958	2984	127
959	2986	124
960	2989	121
961	2991	118
962	2994	115
963	2997	111
964	2999	108
965	3002	105
966	3004	102
967	3007	99
968	3010	96
969	3012	93
970	3015	90
971	3017	86
972	3020	83
973	3022	80
974	3025	77
975	3028	74
976	3030	71
977	3033	68
978	3035	65
979	3038	62
980	3041	58
981	3043	55
982	3045	52
983	3048	49
984	3051	46
985	3053	43
986	3056	40
987	3058	37
988	3061	34
989	3063	30
990	3066	27
991	3068	24
992	3071	21
993	3074	18
994	3077	15
995	3079	12
996	3083	9
997	3086	6
998	3091	3
999	3094	0
