iter	RMSE
192	2.09165013
193	2.085373185
194	2.081989685
195	2.076911372
196	2.071912823
197	2.062721677
198	2.060935004
199	2.053468688
200	2.046776749
201	2.045041142
202	2.037323555
203	2.031623609
204	2.028316152
205	2.024083827
206	2.01676643
207	2.007289675
208	1.99838121
209	1.990924819
210	1.988300625
211	1.981472184
212	1.979698292
213	1.973673936
214	1.966944351
215	1.963862329
216	1.961284043
217	1.956523777
218	1.952169507
219	1.94759283
220	1.938935199
221	1.937148117
222	1.93383218
223	1.928546085
224	1.923450382
225	1.917980518
226	1.916686249
227	1.915233215
228	1.910076426
229	1.905574864
230	1.904167684
231	1.899284783
232	1.896638617
233	1.88834079
234	1.88309082
235	1.879711942
236	1.877883801
237	1.876198904
238	1.874401737
239	1.871800382
240	1.864713419
241	1.858645144
242	1.855972737
243	1.851335418
244	1.849453051
245	1.843708629
246	1.835863056
247	1.828162244
248	1.822109784
249	1.814384398
250	1.810280219
251	1.807091375
252	1.800935931
253	1.796089479
254	1.788292712
255	1.784329074
256	1.777904265
257	1.771264067
258	1.766850931
259	1.762472679
260	1.761210526
261	1.755068324
262	1.749257534
263	1.745902953
264	1.739959976
265	1.732564517
266	1.727876459
267	1.727012544
268	1.72438709
269	1.719658845
270	1.717778133
271	1.711585053
272	1.706730223
273	1.700900253
274	1.695233696
275	1.694094974
276	1.688794271
277	1.687106753
278	1.680445089
279	1.678904039
280	1.671844375
281	1.670588122
282	1.663896231
283	1.658290022
284	1.654141353
285	1.652540836
286	1.64909465
287	1.64145201
288	1.635609673
289	1.63431833
290	1.633172767
291	1.628610521
292	1.62304225
293	1.618321306
294	1.617427148
295	1.612358777
296	1.60899072
297	1.602882794
298	1.597611308
299	1.592714067
300	1.587009103
301	1.582707784
302	1.576678983
303	1.57222646
304	1.56769934
305	1.565708638
306	1.560316372
307	1.556559905
308	1.553471039
309	1.551887431
310	1.548038226
311	1.542617453
312	1.537532826
313	1.532560311
314	1.52957876
315	1.526474425
316	1.525520565
317	1.520760285
318	1.516901755
319	1.515610954
320	1.510821414
321	1.50645188
322	1.501650381
323	1.495491002
324	1.49081158
325	1.489237514
326	1.483608955
327	1.478881632
328	1.474353157
329	1.471837989
330	1.467925652
331	1.463183953
332	1.459677829
333	1.454830415
334	1.4521949
335	1.446376612
336	1.443390221
337	1.438457268
338	1.435095658
339	1.431021814
340	1.424898795
341	1.421161839
342	1.415839255
343	1.411613409
344	1.405938055
345	1.399402841
346	1.393448362
347	1.391474398
348	1.388805447
349	1.387859696
350	1.383062006
351	1.380164602
352	1.376779964
353	1.371460337
354	1.367224674
355	1.361061606
356	1.358005137
357	1.35497866
358	1.351256596
359	1.346152832
360	1.339181156
361	1.334857434
362	1.33039061
363	1.325445726
364	1.320408495
365	1.314063541
366	1.311393145
367	1.308118033
368	1.304789844
369	1.300903528
370	1.296316462
371	1.291126337
372	1.286370482
373	1.284418036
374	1.282388938
375	1.281304743
376	1.277985212
377	1.274590915
378	1.27178272
379	1.268154667
380	1.266232986
381	1.261415902
382	1.257659773
383	1.252899033
384	1.249687797
385	1.2479569
386	1.245236321
387	1.240263801
388	1.236823208
389	1.232880905
390	1.227307849
391	1.224893837
392	1.220981644
393	1.217666719
394	1.213884127
395	1.211153097
396	1.207742102
397	1.203955648
398	1.199886236
399	1.196004485
400	1.194037614
401	1.190058777
402	1.187087577
403	1.183986787
404	1.180340303
405	1.177372418
406	1.172573411
407	1.167932962
408	1.164358925
409	1.163401154
410	1.159750244
411	1.157236305
412	1.155081835
413	1.152508892
414	1.149262015
415	1.145879393
416	1.14179284
417	1.136497923
418	1.133517153
419	1.130117212
420	1.126701831
421	1.122374027
422	1.118166226
423	1.116663905
424	1.115708097
425	1.113144092
426	1.109242799
427	1.106103953
428	1.105276202
429	1.101268349
430	1.098031944
431	1.097236536
432	1.093207173
433	1.090656194
434	1.087095734
435	1.085299271
436	1.084476291
437	1.08083906
438	1.076781718
439	1.073022695
440	1.068568462
441	1.06495758
442	1.063778851
443	1.063095228
444	1.061700007
445	1.058815765
446	1.055634302
447	1.053314447
448	1.049160717
449	1.047517829
450	1.043400803
451	1.039994989
452	1.036660291
453	1.03602457
454	1.03168685
455	1.029291319
456	1.023866196
457	1.021498257
458	1.01692359
459	1.015184399
460	1.011940043
461	1.008840534
462	1.007526624
463	1.003633349
464	1.000381805
465	0.9958266344
466	0.9930883982
467	0.9895981105
468	0.986631366
469	0.9860596732
470	0.9833101106
471	0.9800069824
472	0.97698861
473	0.9745876366
474	0.9722088878
475	0.969815485
476	0.9669368278
477	0.9640182331
478	0.9625621384
479	0.9610082283
480	0.958345654
481	0.9548713775
482	0.9531846266
483	0.9513571469
484	0.9475412963
485	0.945923569
486	0.9429568822
487	0.9405332141
488	0.93551029
489	0.9324825316
490	0.9288860963
491	0.9275218439
492	0.9251989411
493	0.9226099453
494	0.9217109381
495	0.9193318315
496	0.915793685
497	0.9138672353
498	0.9093739667
499	0.9063058313
500	0.9044279351
501	0.9019600353
502	0.8975046938
503	0.8961489809
504	0.893218172
505	0.8903596013
506	0.8876202167
507	0.8868572442
508	0.8854466387
509	0.8829511043
510	0.8787643411
511	0.8773972001
512	0.8757047202
513	0.8741371136
514	0.8709761493
515	0.8696855325
516	0.867184323
517	0.8641454148
518	0.8611233687
519	0.859061344
520	0.855111528
521	0.8543700929
522	0.8524681177
523	0.8505437555
524	0.8487733851
525	0.8482038656
526	0.8448033219
527	0.843345242
528	0.8410787781
529	0.8392740845
530	0.8375462441
531	0.8341591399
532	0.8318996743
533	0.8281530538
534	0.8263430639
535	0.8241785457
536	0.8222120156
537	0.8182279795
538	0.8170528117
539	0.815288728
540	0.8133839413
541	0.8101782629
542	0.8065339284
543	0.8040728388
544	0.801100815
545	0.7990944828
546	0.7963774629
547	0.7938320794
548	0.7914779541
549	0.7874992466
550	0.784871796
551	0.7831404115
552	0.7804348049
553	0.7783203241
554	0.7781253879
555	0.776662906
556	0.7740940126
557	0.7724025371
558	0.77044929
559	0.7669709342
560	0.7644713223
561	0.7607583689
562	0.7574951424
563	0.7558539727
564	0.7535801156
565	0.7503274225
566	0.7474253237
567	0.7444089286
568	0.7436283411
569	0.740300632
570	0.7388466616
571	0.7368031889
572	0.7339094535
573	0.732171246
574	0.7305298858
575	0.7286172007
576	0.725708425
577	0.7252003438
578	0.7229462367
579	0.7218216605
580	0.7206644759
581	0.7194707314
582	0.7166604683
583	0.7152221838
584	0.7138101898
585	0.7114632975
586	0.708850372
587	0.7066533468
588	0.7062021563
589	0.7052483865
590	0.7038343222
591	0.7005316367
592	0.6972602356
593	0.6945135644
594	0.6925734929
595	0.6911951323
596	0.6897665647
597	0.688316241
598	0.6863235997
599	0.6841648216
600	0.682378372
601	0.6805295472
602	0.678610087
603	0.6760022784
604	0.6743370913
605	0.6727439465
606	0.6709000589
607	0.6697724889
608	0.6686389291
609	0.666493458
610	0.6651860008
611	0.6629027283
612	0.6615336298
613	0.6602011551
614	0.6595156888
615	0.6570153394
616	0.6541826512
617	0.6535008546
618	0.6520490113
619	0.6513747941
620	0.6495339454
621	0.6474616177
622	0.6456682394
623	0.6439245473
624	0.6411059077
625	0.6380918284
626	0.6373647916
627	0.6354498222
628	0.6328537454
629	0.631142517
630	0.6301244023
631	0.6275288112
632	0.6265101976
633	0.6241830807
634	0.623200044
635	0.6216783599
636	0.6199945753
637	0.617353183
638	0.6149765095
639	0.612729172
640	0.611378901
641	0.6087041491
642	0.6069662137
643	0.6063011235
644	0.6053030263
645	0.6045205932
646	0.6023998918
647	0.6008048758
648	0.5992817459
649	0.5980253285
650	0.5955823617
651	0.5928775255
652	0.5904601326
653	0.590142724
654	0.5880478338
655	0.5868733117
656	0.5858547625
657	0.583346908
658	0.5817264485
659	0.5811974946
660	0.5803125624
661	0.5789042636
662	0.5769690319
663	0.5758550488
664	0.5744739979
665	0.5738341219
666	0.5724118366
667	0.5704806699
668	0.5691875225
669	0.5678076494
670	0.5664702813
671	0.5652434108
672	0.5629903191
673	0.5610458439
674	0.5597437801
675	0.5581520259
676	0.5550934973
677	0.553985623
678	0.5523990763
679	0.5508384424
680	0.5481384405
681	0.5461853943
682	0.544311903
683	0.5435140979
684	0.5426990529
685	0.5414305454
686	0.5401335642
687	0.5385920215
688	0.5371235575
689	0.5357504953
690	0.5342548442
691	0.5323485379
692	0.5308853112
693	0.5288118411
694	0.5267774852
695	0.5252921395
696	0.5244559626
697	0.5225030983
698	0.5210937416
699	0.5190501106
700	0.5180708638
701	0.5168328729
702	0.5146308139
703	0.5135162227
704	0.5128321072
705	0.5118680551
706	0.5102603624
707	0.5082034982
708	0.5071328523
709	0.5059994234
710	0.5050858639
711	0.5036559713
712	0.5021317335
713	0.5003588886
714	0.4988052982
715	0.4967456415
716	0.4950048925
717	0.4936180565
718	0.4923187736
719	0.4907309569
720	0.4885639184
721	0.4878823653
722	0.4863553134
723	0.484423901
724	0.4828074374
725	0.481165985
726	0.47976962
727	0.4784846874
728	0.4769138896
729	0.4760508037
730	0.4743623424
731	0.4732046678
732	0.4712848596
733	0.4693088514
734	0.4678402732
735	0.4661285092
736	0.4653467953
737	0.4646051402
738	0.4626822471
739	0.4620075728
740	0.4613394019
741	0.459671983
742	0.4593416971
743	0.4579837879
744	0.4566598737
745	0.4561277858
746	0.455062996
747	0.454478527
748	0.4528419693
749	0.45106863
750	0.4498361779
751	0.4479888754
752	0.446953039
753	0.4463090803
754	0.4447746865
755	0.4433188409
756	0.4415969441
757	0.4413179932
758	0.4404760924
759	0.4385905533
760	0.4373091905
761	0.4367124858
762	0.4351707158
763	0.4335882418
764	0.4329746474
765	0.4311954143
766	0.4305866894
767	0.4302381743
768	0.4288895667
769	0.4276251381
770	0.4261872232
771	0.4252392089
772	0.4248330589
773	0.4233864395
774	0.4224325549
775	0.4213696827
776	0.4197043944
777	0.4192991367
778	0.4184921593
779	0.4174036671
780	0.4170733421
781	0.415804353
782	0.4141961314
783	0.4135916179
784	0.4120002104
785	0.4108085012
786	0.4095497187
787	0.4088709012
788	0.4075249076
789	0.4065130671
790	0.405406884
791	0.4039651758
792	0.4032705992
793	0.4018671835
794	0.4013287331
795	0.3997707951
796	0.3982862219
797	0.3974486099
798	0.3962108938
799	0.3958475026
800	0.3946302358
801	0.3932314153
802	0.3925816331
803	0.3921269519
804	0.390628274
805	0.3887850063
806	0.3881091479
807	0.3866638999
808	0.3862201601
809	0.3852854265
810	0.384124054
811	0.3831407637
812	0.3825473378
813	0.3815961928
814	0.3803594007
815	0.3792256735
816	0.3778311136
817	0.3762885402
818	0.375703704
819	0.3745900705
820	0.3738937833
821	0.3733466024
822	0.3721304534
823	0.3715912816
824	0.3704846444
825	0.3702200396
826	0.3697440688
827	0.3695826515
828	0.3688896598
829	0.3680382733
830	0.3678078104
831	0.3670628187
832	0.3657009548
833	0.3645386192
834	0.363373802
835	0.361615229
836	0.360326214
837	0.3594699581
838	0.3589646445
839	0.3576531923
840	0.3570922755
841	0.3556407007
842	0.3544388132
843	0.3532053596
844	0.3524494725
845	0.3513411156
846	0.3503177199
847	0.3495681836
848	0.3488397117
849	0.3484782668
850	0.3480230284
851	0.347074617
852	0.3458431901
853	0.3448174684
854	0.3437914129
855	0.3436196362
856	0.34225852
857	0.3414989307
858	0.3409989793
859	0.3407781447
860	0.339206155
861	0.3383443537
862	0.337168374
863	0.3364209822
864	0.336159462
865	0.3355203345
866	0.3344797028
867	0.3336474878
868	0.3332840686
869	0.3321488704
870	0.3313104105
871	0.3306666222
872	0.3299665855
873	0.3292091134
874	0.3286733101
875	0.3276223977
876	0.326039054
877	0.3244700693
878	0.3238779649
879	0.3232804249
880	0.322251416
881	0.321913607
882	0.3211479571
883	0.3200184375
884	0.3187833295
885	0.3177446743
886	0.3170671049
887	0.3163360905
888	0.3160089153
889	0.3147986193
890	0.3144943397
891	0.3136941176
892	0.3125311096
893	0.3116811829
894	0.3105311458
895	0.3093381148
896	0.3086104715
897	0.3083709672
898	0.3071222129
899	0.3066645199
900	0.3059265352
901	0.3052980958
902	0.3045255402
903	0.3036657607
904	0.3028292774
905	0.3026619141
906	0.3016717098
907	0.3004991613
908	0.3003073912
909	0.2993273944
910	0.2990619779
911	0.2988959433
912	0.2973476334
913	0.2968808117
914	0.2967958444
915	0.2956418527
916	0.2944944488
917	0.2934943994
918	0.2930913573
919	0.2923991564
920	0.2912429463
921	0.2909618233
922	0.2902133858
923	0.2892034879
924	0.288059545
925	0.286823245
926	0.2865392401
927	0.2858358847
928	0.2847862855
929	0.2839819036
930	0.2829598752
931	0.2824439742
932	0.2815759362
933	0.2812938636
934	0.2810920975
935	0.2804051872
936	0.2793081383
937	0.27859472
938	0.2785301595
939	0.2779830059
940	0.2770606761
941	0.2760874864
942	0.2750536387
943	0.2749514481
944	0.2741305621
945	0.2733852072
946	0.2728600172
947	0.2721506686
948	0.2711075377
949	0.2705744915
950	0.2700387513
951	0.2694064423
952	0.268948932
953	0.2680716843
954	0.2673001846
955	0.2666261846
956	0.2659980971
957	0.2653687238
958	0.2650858415
959	0.2650288169
960	0.2639683022
961	0.2630544938
962	0.2623175702
963	0.2612114585
964	0.2609977209
965	0.2608224485
966	0.2600324294
967	0.2597214986
968	0.2587316648
969	0.2577673334
970	0.2574823122
971	0.257052465
972	0.2569378622
973	0.256270369
974	0.2552332487
975	0.2551618572
976	0.2544125706
977	0.2535343677
978	0.2529847889
979	0.2522546464
980	0.252120576
981	0.251421752
982	0.2503096716
983	0.2494566061
984	0.2487574803
985	0.248162784
986	0.2473627406
987	0.2468147338
988	0.2459183905
989	0.2456029242
990	0.244979015
991	0.2448260519
992	0.2446255408
993	0.2438844497
994	0.2432419479
995	0.2424221165
996	0.2417675484
997	0.2407395698
998	0.2402234983
999	0.239378846
